twitter_followers,popularity,handle
111024636,94,justinbieber
107920365,91,rihanna
106599902,89,katyperry
95307659,97,taylorswift13
66325495,87,selenagomez
66325135,71,selenagomez
60943147,83,jtimberlake
54815915,82,britneyspears
53569307,85,shakira
52652584,86,ddlovato
49927174,39,jimmyfallon
46293213,87,mileycyrus
44674780,80,jlo
44039942,93,bts_bighit
42413084,90,brunomars
40096586,78,niallofficial
39304229,99,drake
37372340,76,harry_styles
36093409,88,wizkhalifa
35063244,71,louis_tomlinson
34325144,91,liltunechi
33698167,92,iamcardib
33270559,77,liampayne
31491275,94,chrisbrown
30652106,86,pink
30275927,84,zaynmalik
30075356,86,onedirection
29353704,81,aliciakeys
28147784,92,nickiminaj
27218226,85,adele
25945694,96,shawnmendes
24300043,86,pitbull
23318155,89,coldplay
22176914,94,eminem
21598033,81,mariahcarey
20754238,87,snoopdogg
20717966,78,zendaya
19887325,77,ricky_martin
19608399,80,alejandrosanz
19544056,91,davidguetta
19524809,86,anitta
19154557,78,blakeshelton
17199524,90,theweeknd
17154791,63,therock
17065826,97,daddy_yankee
16972252,100,edsheeran
16210639,81,xtina
15311818,91,beyonce
14978485,58,diddy
14904821,76,realhughjackman
14488631,76,zacefron
14353642,67,claudialeitte
14025728,90,halsey
13911419,91,jcolenc
13753507,85,bigsean
13713747,75,nickjonas
13669378,89,maroon5
13310176,83,johnlegend
13058709,80,treysongz
12874311,94,camila_cabello
12835225,85,50cent
12699521,80,wizkidayo
12134452,88,5sos
12119539,90,kendricklamar
11958962,94,trvisxx
11818240,62,ashleytisdale
11759238,79,kellyclarkson
11682251,82,usher
11666710,75,ciara
11552161,77,iamwill
11504889,89,calvinharris
11401683,84,littlemix
11318474,88,meekmill
11315316,80,juanes
11117156,82,marcanthony
11115934,79,ludacris
10764757,99,jbalvin
10717501,70,paulinarubio
10397354,87,dualipa
10389977,82,pharrell
10273521,84,blackpink
9789125,86,tylerthecreator
9716894,84,luisfonsi
9627500,65,joejonas
9277167,18,gucci1017
9277139,87,gucci1017
9219556,78,carlyraejepsen
8999326,80,tip
8645254,68,austinmahone
8574950,83,troyesivan
8544353,93,maluma
8256149,88,martingarrix
8028923,76,carrieunderwood
7991546,82,steveaoki
7863381,60,iamqueenlatifah
7776732,53,1future
7773829,76,jessiej
7771090,90,lilbaby4pf
7758732,81,jaden
7750233,91,lilnasx
7734136,90,chancetherapper
7696887,92,samsmith
7627136,79,iggyazalea
7596493,85,macmiller
7466452,85,zedd
7466317,72,adamlevine
7379599,97,billieeilish
7007467,96,postmalone
6954715,78,missyelliott
6851191,79,lorde
6837206,73,kellyrowland
6682038,52,mirandacosgrove
6563577,70,lmfao
6548765,73,mirandalambert
6526924,82,princeroyce
6522134,68,annakendrick47
6419758,83,gunsnroses
6379267,66,vanessahudgens
6349918,86,ritaora
6264266,95,youngthug
6247900,54,bellathorne
6239326,81,neyocompound
6202262,67,cherlloyd
6170304,85,metallica
6101144,87,elliegoulding
6080072,77,wale
6038073,74,maryjblige
5979676,81,akon
5747380,65,micheltelo
5735211,83,skrillex
5707049,87,linkinpark
5584492,84,djkhaled
5525888,73,ozzyosbourne
5524684,91,imaginedragons
5388789,65,realblackcoffee
5369607,85,lilyachty
5318144,80,paramore
5259846,77,carlosvives
5201643,68,common
5116786,94,farrukoofficial
5012585,81,jason_mraz
4979898,84,wisinyyandel
4886786,63,alyankovic
4860299,89,21savage
4857115,94,nickyjampr
4847264,86,romeosantospage
4844179,72,lucaslucco
4837461,67,llcoolj
4836214,66,nicolescherzy
4756811,83,greenday
4749936,97,thegreatkhalid
4657376,73,lennykravitz
4651932,82,official_flo
4651170,92,tyga
4622301,81,thekillers
4608966,85,tiesto
4603595,88,jonasbrothers
4577492,71,iamjamiefoxx
4515942,83,metroboomin
4466781,85,2chainz
4457994,86,iambeckyg
4452561,65,paulafernandes7
4432749,51,yokoono
4394527,77,fifthharmony
4307976,71,janetjackson
4268689,64,laurenjauregui
4233408,76,paulmccartney
4215956,62,psy_oppa
4134853,72,bradpaisley
4115978,66,bridgitmendler
4101411,69,kerihilson
4047010,76,keithurban
4021920,74,myfabolouslife
4001378,64,iamjhud
3976124,88,twentyonepilots
3967788,70,solangeknowles
3905606,85,reikmx
3862632,80,jason_aldean
3859500,76,bustarhymes
3836823,88,quavostuntin
3748901,82,roddyricch
3658660,73,wyclef
3621869,74,fergie
3610744,82,charli_xcx
3598155,84,charlieputh
3589813,87,sia
3579509,84,jasonderulo
3546008,66,slash
3480925,84,rollingstones
3425173,84,pinkfloyd
3412454,70,jordinsparks
3400937,80,pearljam
3359041,87,migos
3340315,78,lin_manuel
3331071,82,normani
3297428,81,foofighters
3262388,87,yg
3260624,71,deadmau5
3244448,87,nattinatasha
3241713,91,thechainsmokers
3240478,61,jimjonescapo
3230789,72,4everbrandy
3198947,67,bigtimerush
3190960,86,g_eazy
3108263,61,mchammer
3090837,79,kesharose
3041892,86,onerepublic
3022575,85,frenchmontana
3007130,77,thetimmcgraw
2977455,0,sc
2977420,84,sc
2944341,87,falloutboy
2942103,75,nellyfurtado
2933068,82,bonjovi
2912459,81,drdre
2852294,82,madonna
2833003,80,therealjuicyj
2822379,88,asvpxrocky
2764619,71,fatbellybella
2754827,74,seankingston
2735285,61,tyrese
2726531,80,jheneaiko
2718945,67,traviemccoy
2718945,69,traviemccoy
2699220,88,panicatthedisco
2693387,74,sarabareilles
2680822,98,ozuna
2650180,78,kennychesney
2641756,86,chilipeppers
2640022,75,gwenstefani
2630726,47,gwynethpaltrow
2618602,88,1gunnagunna
2600694,80,kidcudi
2597772,80,brysontiller
2580329,96,anuel_2blea
2572944,51,ricegum
2539145,85,playboicarti
2506412,83,donaldglover
2502971,82,schoolboyq
2500939,75,dierksbentley
2453666,76,afrojack
2452028,81,muse
2451820,72,therealswizzz
2428697,55,mickjagger
2404751,89,trippieredd
2395971,75,robbiewilliams
2394738,88,diplo
2392514,82,thomasrhett
2354460,67,birdman5star
2337868,85,michaeljackson
2298406,76,blacksabbath
2248915,70,queennaija
2238351,66,adamlambert
2223176,77,jamesblunt
2216293,85,torylanez
2180625,27,queenwillrock
2122776,88,logic301
2114550,61,madelainepetsch
2113303,85,russdiemon
2108802,85,macklemore
2108791,77,macklemore
2101425,61,bettemidler
2088699,88,beberexha
2074818,55,ringostarrmusic
2070491,93,xxxtentacion
2061763,74,ashanti
2057444,79,michaelbuble
2038541,82,the1975
2028635,81,alesso
2026923,73,jakeowen
2010514,85,jamesarthur23
1997720,78,theofficiala7x
1985541,77,ericchurch
1945152,71,swedishousemfia
1936991,81,meghan_trainor
1936087,78,bmthofficial
1933224,85,arcticmonkeys
1928910,58,paulaabdul
1919885,81,radiohead
1912391,52,finallevel
1897296,78,dovecameron
1895343,84,flagaline
1881713,67,kirkfranklin
1879723,92,juiceworlddd
1854628,83,iamblackbear
1822287,89,djsnake
1812968,74,chrisyoungmusic
1799187,79,thescript
1795787,82,majorlazer
1783661,90,tydollasign
1775831,76,kiss
1774464,89,avicii
1772355,58,kmichelle
1767851,72,megadeth
1760928,69,therealkiss
1749111,63,missjillscott
1748190,84,kanebrown
1734191,62,darrencriss
1731148,73,30secondstomars
1714104,76,pusha_t
1703214,73,taiocruz
1678670,82,wisin
1654876,82,u2
1646245,82,blink182
1643911,76,rascalflatts
1638606,50,iamstevent
1629700,66,chriscornell
1615347,69,tobyfox
1612869,77,weezer
1599563,38,mitchelmusso
1596300,81,ellamai
1593563,82,arminvanbuuren
1589090,79,zacbrownband
1579206,72,1youngtakeoff
1577869,49,hughlaurie
1570636,71,dariusrucker
1567327,76,partynextdoor
1566225,77,timbaland
1537649,84,machinegunkelly
1537403,79,jonbellion
1514039,52,jacobsartorius
1506593,56,itsmeleighton
1488929,75,melanielbbh
1475796,73,alltimelow
1469095,79,mcrofficial
1465378,84,bobmarley
1464338,84,zaralarsson
1462458,72,chinamcclain
1444312,74,brantleygilbert
1441698,71,teyanataylor
1440451,86,billyraycyrus
1440179,81,haileesteinfeld
1418552,61,rayj
1409849,73,lifeofdesiigner
1406331,69,ceelogreen
1404948,73,janellemonae
1393369,38,diggy_simmons
1353832,82,tpain
1342467,72,itsruthb
1340329,81,springsteen
1329464,69,thewanted
1322376,63,nathansykes
1321836,58,duttypaul
1319804,71,hunterhayes
1319436,86,johnmayer
1314005,77,kaliuchis
1295930,75,chiefkeef
1270017,71,mikasounds
1250216,68,thejuelzsantana
1237114,70,rkmykeny
1235898,69,bretteldredge
1222431,63,_maxwell_
1209087,74,thecameronboyce
1199778,79,skepta
1198969,65,acehood
1196135,68,faithhill
1188364,84,alessiacara
1187851,75,evanescence
1185005,69,littlebigtown
1183969,87,lauvsongs
1159578,78,hillsongunited
1151323,70,jaysean
1148704,71,justincolemoore
1139250,73,richhomiequan
1132753,71,lupefiasco
1128289,78,kelseaballerini
1120997,86,annemarie
1119711,75,torikelly
1117432,66,lloydbanks
1113812,62,davidarchie
1109357,79,cagetheelephant
1096032,73,thelittleidiot
1095805,74,tinashe
1086922,77,thegame
1083432,45,msrebeccablack
1083332,81,oasis
1077774,73,kidrock
1067440,57,rizzlekicks
1065386,31,johnrich
1061770,82,labrinth
1061769,77,labrinth
1058818,65,rubenblades
1046372,71,chasericemusic
1041952,81,backstreetboys
1040377,69,plies
1039037,65,bunbtrillog
1035513,79,thenbhd
1033562,69,augustalsina
1033047,74,famousdex
1026216,81,hozier
1015811,81,gorillaz
1011803,77,sofiacarson
1009503,83,6lack
1004520,60,okgo
1000272,60,tasiasword
1000251,77,joeybadass
997946,61,florencemachine
997921,79,florencemachine
994578,63,mikeshinoda
990660,71,dillonfrancis
986749,73,leebrice
984526,70,currensy_spitta
974328,72,uglygod
974152,83,davidbowiereal
973776,65,ellahenderson
967647,74,shaniatwain
965075,84,lilpeep
964022,71,emelisande
955237,78,thedoors
953443,73,fatjoe
949834,73,owlcity
949225,82,lilpump
947551,69,robinthicke
940529,76,christinaperri
938215,68,alicecooper
935730,78,celinedion
929552,82,miguel
927302,76,kaceymusgraves
920646,76,kid_ink
912748,73,arcadefire
911729,83,theslumpgod
909384,63,charliedaniels
909321,45,charliedaniels
898149,71,wandwmusic
891249,73,quando_rondo
886730,69,kipmooremusic
870327,80,nipseyhussle
869945,66,bjork
863237,83,jeremih
862608,73,dustinlynch
862474,88,iamalanwalker
857879,73,ptxofficial
856555,77,youngdolph
856209,77,liljon
845532,78,fosterthepeople
839902,81,marenmorris
836567,69,scottymccreery
828872,58,reallilscrappy
828597,70,dejloaf
827419,61,martinamcbride
827097,85,beatsbynav
809596,73,neildiamond
802731,65,rza
796557,77,motleycrue
793241,83,asapferg
788441,65,joshgroban
786255,31,mrtommyland
784952,67,iamjojo
779697,75,officialjackson
779587,66,qtiptheabstract
778413,79,disturbed
777485,68,thelonelyisland
764366,72,wutangclan
763810,61,iamanitabaker
761003,48,interscope
759170,71,yfnlucci
753737,80,raesremmurd
749146,70,estelledarlings
749009,73,johnlennon
748822,82,2pac
743640,90,nfrealmusic
743195,84,6ix9ine
739360,57,benfolds
734705,72,mikewillmadeit
732239,76,georgestrait
730265,56,home
726642,55,corbinbleu
726359,73,bhadbhabie
725871,83,ledzeppelin
724860,29,garthbrooks
724857,13,garthbrooks
724066,62,tednugent
721962,72,coleswindell
718073,43,paulstanleylive
708120,68,keyshiacole
708064,21,keyshiacole
705658,54,umg
705646,61,umg
705633,64,umg
699786,79,nickelback
697623,41,willienelson
695753,70,tommy_torres
689177,69,miauniverse
662280,76,beamiller
657667,80,george_ezra
657208,79,theblackkeys
656983,65,sugarlandmusic
656883,80,ffdp
654474,48,emblemthree
654148,65,jsullivanmusic
654028,78,fettywap
645740,76,lildickytweets
638238,76,jacquees
637827,71,idinamenzel
636693,26,michellevisage
626537,75,jayrock
623360,62,serjtankian
622939,58,kirkobangz
618826,76,mikeposner
616967,75,thewho
616867,76,gdzoficial
613031,68,krewella
607396,77,paparoach
599856,6,thechicks
599839,74,thechicks
593380,66,realsirtomjones
592906,53,melaniefiona
591210,76,noahcyrus
590611,81,hermusicx
587932,56,kramergirl
579389,75,samhuntmusic
576175,86,acdc
568532,60,alyandaj
567691,57,davejmatthews
567594,72,billycurrington
560107,66,nataliajimenez
556265,75,techn9ne
555648,64,cassiesuper
548836,79,kingsofleon
547040,76,jimihendrix
545992,40,ravensymone
543248,71,freddiegibbs
537221,69,joshturnermusic
536561,79,amywinehouse
532078,1,rodstewart
531103,84,markronson
523188,79,disclosure
521848,51,jessiejdecker
521060,64,teganandsara
520080,66,randyhouser
516505,78,rudimental
516370,64,michaelwsmith
515936,36,gloriaestefan
515933,68,gloriaestefan
513971,76,georgemichael
513248,57,therealmarymary
512263,65,phillips
510296,79,threedaysgrace
506890,47,team10official
505526,52,wondergirls
503760,63,eastoncorbin
500224,49,kreayshawn
498007,85,pnbrock
495094,78,skilletmusic
484249,65,thundercat
483604,59,saraevansmusic
480419,60,cassadeepope
473245,71,lindseystirling
472670,64,musiqsoulchild
471113,73,cristiancastro
462697,74,neilyoung
461405,65,leannrimes
461346,90,kygomusic
458170,79,flumemusic
456150,66,realremyma
446653,80,thelumineers
441291,78,heyamine
437455,72,stonesour
433745,68,stevienicks
433613,75,alt_j
426547,73,soundgarden
426463,73,lilxanfuhyobih
421387,66,traceadkins
419957,70,nineinchnails
415895,79,jorjasmith
413583,82,danielcaesar
413289,80,joynerlucas
412158,66,youngmamusic
410598,40,luccadoes
410068,76,scorpions
409570,67,dreamtheaternet
407019,42,johnleguizamo
400314,71,rodneyatkins
398801,78,madeintyo
396990,80,tovelo
395869,67,colbyodonis
395572,76,shinedown
395545,83,cleanbandit
393485,79,lilmosey
392032,57,marshaambrosius
391495,62,nkotb
388776,68,thisisrobthomas
387746,76,whoismgmt
387501,65,heyviolet
387288,73,craigdavid
385247,54,yolandaadams
383449,69,lloyd_yg
381581,62,travisporter
377686,56,thompsonsquare
377002,80,chrisstapleton
376604,76,passengermusic
375841,80,jamesbaymusic
373943,73,beastieboys
370157,75,smashingpumpkin
369354,75,147calboy
369323,45,scandal_band
368906,88,manuelturizomtz
368604,14,latoyajackson
364510,67,royceda59
361288,74,aliceinchains
360950,88,bazzi
359876,61,nerouk
358797,63,jeweljk
358082,78,train
356188,76,jonpardi
353905,54,ednitanazario
352678,76,olddominion
352186,42,blondieofficial
352177,72,blondieofficial
350442,70,officialgiggs
350086,57,sammyhagar
349428,59,lorettalynn
347877,72,davematthewsbnd
347285,77,breakingbenj
346076,54,prettymill1
346045,70,sherylcrow
346003,29,sherylcrow
345905,67,kelis
345048,80,billyjoel
344725,75,lionelrichie
342013,69,guysebastian
340991,70,gavindegraw
334110,63,garyallan
333990,74,jamesblake
333906,61,tylerfarr
330269,70,aramosofficial
329632,58,robertplant
327307,64,atrak
326938,62,dbradbery
324885,37,therealkano
322815,61,vanillaice
321171,65,trinidadjamesgg
321027,62,tarrusrileyja
318768,73,godsmack
316697,42,julianlennon
313579,76,monstersandmen
312435,81,jackjohnson
310422,65,nancysinatra
310413,64,freddie_mercury
304961,76,riseagainst
304677,70,billyidol
303942,70,natashabdnfield
300838,61,jrodfromoz
300460,71,rushtheband
294777,70,gotye
290028,75,thefray
286961,73,majidjordan
286628,63,baauer
286463,51,ronniedunn
285301,79,felixjaehn
281844,69,fuseodg
281203,53,rocko4real
280953,69,chembros
280807,64,maejor
277040,73,seether
274786,79,offspring
270953,75,dnce
266024,77,superduperkyle
265962,38,shanell_snl
265346,69,kcamp
263622,78,thecure
260227,66,grangersmith
259153,3,chicoxxx_tweet
257223,74,incubusband
256452,68,rickastley
255811,75,brettyoungmusic
253933,65,cmorganmusic
251165,70,wearephoenix
249566,79,wearegalantis
248518,53,katharinemcphee
247219,49,thedavidcook
244748,73,zztop
242854,76,gnash
240774,68,itspetergabriel
240095,56,thefreds
239374,67,wtofficial
238884,83,avamax
237335,44,marieosmond
237262,79,ajrbrothers
233815,73,skylargrey
233023,60,davidnail
231624,50,ace_frehley
229176,57,siedahgarrett
228200,68,tenaciousd
226523,40,momomoyouth
226278,64,vgcom
221788,68,wethekings
218950,72,johnnewmanmusic
218246,77,outkast
217567,52,therealcashout
217346,58,jonbonjovi
216485,84,robin_schulz
215464,63,tprofficial
212507,69,chrislake
211308,62,donnyosmond
210774,71,nilerodgers
210366,60,carlypearce
210150,74,3doorsdown
208800,70,brothersosborne
208272,52,litaford
208188,49,krisallen
207725,73,gratefuldead
203632,67,runjewels
200009,57,willyoung
199757,32,susannahoffs
199137,64,roscoedash
198612,71,goodcharlotte
197798,69,ingridmusic
197742,61,raelynn
195556,58,karminmusic
195224,57,amygrant
194988,61,herbiehancock
192651,72,gretavanfleet
191921,60,camcountry
191864,74,yusufcatstevens
190927,21,crush9244
190122,77,lukasgraham
189287,65,davidgray
186127,67,naughtyboymusic
185921,56,pistolannies
185244,81,itsbennyblanco
185222,65,merlehaggard
184654,71,tayk
184339,62,claywalker
183040,64,joewalsh
182768,63,sevyn
181635,43,therealsambora
181590,69,theavettbros
181073,59,marcus_cooper
181023,65,youngbuck
180927,69,jonimitchell
180884,74,sheckwes
179315,64,mavado_gully
178494,54,davidleeroth
177031,60,john_fogerty
176917,67,jidenna
176462,71,twistagmg
175322,73,dianaross
175250,72,ohyesmario
173885,70,olivianj
172844,66,sammiealways
170628,67,itstonybennett
170483,65,walkofftheearth
168568,56,thereadyset
168527,60,itsbrittnicole
168157,75,santanacarlos
168036,56,dropolo
167260,59,knaan
166941,18,wearedelasoul
166009,73,sadeofficial
165844,73,landonvoncube
164998,70,lifehouse
164899,77,skynyrd
163738,65,echosmith
163545,69,papatinho
163461,56,katdeluna
162948,49,therealkoolgrap
161942,77,lauren_daigle
160618,73,wearemkto
159712,57,parmalee
159609,65,hotchellerae
159438,53,rosannecash
159297,67,breathecarolina
158285,46,orianthi
158143,73,ohwondermusic
157474,64,jossstone
156497,67,alabama_shakes
156161,44,katevoegele
155869,65,mgunderground
155563,76,remhq
155193,65,thecivilwars
154736,71,officialheart
153483,56,raheem_devaughn
153317,63,stanalexandra
152548,70,sagethegemini
152338,60,mrvegasmusic
147246,67,respektor
146108,79,vancejoy
146071,71,matchboxtwenty
145599,59,dawin
145143,13,nia_peeples
145080,72,mnek
144551,60,highvalley
142059,68,iyazlive
141559,60,elviscostello
140792,66,3oh3
140735,55,lacketylac
140724,78,andygrammer
140142,52,tjr
139623,60,dannygokey
138458,74,googoodolls
138291,80,jessiereyez
137622,68,carole_king
137116,72,tinaturner
137034,58,esterdean
135137,72,youngthegiant
134588,71,petshopboys
134473,64,iamsu
134069,73,foreignermusic
133550,74,tearsforfears
132887,49,smokienorful
132687,63,bobbyv
132170,58,sammyadams
131865,58,ericpaslay
131606,72,therejects
130752,64,secondhandjohn
130390,64,projectpathcp
129501,55,oakridgeboys
129296,67,officialskidrow
129267,76,direalshaggy
129070,64,feistmusic
128329,66,katebushmusic
127038,74,spicegirls
126542,44,djfellifel
126155,64,mohombi
126058,55,alexisjordan
125100,66,iamfoxes
124222,65,officialmoz
122882,71,iamchrislane
122723,59,craigcampbelltv
122379,64,theveronicas
120448,59,debbiegibson
120012,70,rachelplatten
119706,83,pedrocapo
119554,62,thebonnieraitt
118435,65,jacksons
118425,73,jacksons
117122,70,kimbramusic
116986,67,yellowcard
116002,61,devo
115702,52,chuckwicksmusic
115025,75,portugaltheman
114696,77,prince
114675,74,officialtlc
114658,68,janson_chris
113848,48,djhavanabrown
113581,81,abba
111370,77,earthwindfire
110964,67,benrector
110508,69,311
109810,76,the_cranberries
109141,71,julioiglesias
109029,57,alisonkrauss
108763,60,mr_mike_jones
108656,70,allmanbrothers
107649,61,frankieballard
107011,71,grouplove
106905,61,ralphtresvant
106507,68,cheaptrick
105969,57,thejoshthompson
105591,72,jamestaylor_com
105477,67,cashmerecat
105291,40,priscillabetti
104846,72,simplyredhq
104532,59,jimmybarnes
104364,70,mrprobz
104252,56,gracepotter
104239,48,gracepotter
103959,72,kennyloggins
103713,69,mbsings
103489,64,tracy_lawrence
103423,66,yesofficial
102195,66,skipmarley
101960,61,peterhollens
101888,54,george_clinton
101418,63,michaelraymusic
101338,61,chromeo
101226,71,m83
100965,72,bobseger
100530,67,styxtheband
100039,50,officialalbsure
99443,66,afi
99398,64,devishot
99123,62,kimwilde
97788,47,thecham
97148,59,shontelle_layne
97080,56,kdlang
