twitter_followers,popularity,handle
96996,69,awolnation
96719,71,ramonesofficial
96512,70,creed
96350,53,diaframps
96102,64,onlyfuturistic
95380,48,goapele
95328,68,jacksonbrowne
95287,77,vanmorrison
95176,78,ragnboneman
94661,70,sarahconnorfc
94345,64,sineadoconnor
93944,49,jarsofclay
93858,70,cascada_music
93605,74,blocboy_jb
93257,59,gaslightanthem
93056,65,matkearney
92996,79,xambassadors
92179,63,edwardmaya
90836,77,thebeachboys
90787,41,annwilson
90726,48,jamesotto
90069,81,aloeblacc
90045,50,pauladeanda
89988,66,jimmieallen
89521,51,leelajames
89473,66,marianhillmusic
89141,66,sampha
88957,82,kehlani
88865,61,faydee
88707,74,therealroxette
88205,76,theclash
87586,59,bilal
87567,67,neontrees
87141,40,halloates
87141,77,halloates
87062,62,flyleafmusic
86563,41,pebbles2day
86263,66,nenaofficial
86061,63,kttunstall
86021,46,sadatx
85785,9,georgioxv3
85572,61,mattandkim
85279,66,rickspringfield
85171,52,ogmaco
84959,62,kiesza
84529,68,thealabamaband
83082,79,franksinatra
82642,65,hindermusic
81990,72,smbofficial
81229,61,cobrastarship
80380,66,barrymanilow
80214,59,marylambertsing
79993,54,twaynebsm
79989,70,raylamontagne
79134,56,themarsvolta
79095,71,atcq
79081,62,sickpuppies
78882,39,kristinia
78283,21,starboyterri
78274,48,icewear_vezzo
77655,81,cheatcodesmusic
77615,64,mattnathanson
77481,48,samfoxcom
77264,69,corinnebrae
77032,74,aha_com
76843,58,kraftwerk
75925,60,michaelfranti
75295,65,dragonforce
75058,44,amellarrieux
75054,63,larouxofficial
74999,54,jordansmithlive
74893,57,therealsilento
74716,78,toto99com
74515,54,thegrahamnash
74362,51,tymsproject
74300,69,modestmouseband
73824,68,unclekracker
73792,74,milkychance
73689,62,warrantrocks
73050,38,mattmcandrew
72690,63,dwightyoakam
72306,67,capitalcities
72073,70,aauthorsmusic
71787,46,dave_hollister
71748,61,humptyfunk
71404,66,madnessnews
69971,36,jimmywayne
69724,32,e_e_
69453,59,markchesnutt
68778,59,teslaband
68722,60,therattpack
68504,45,leedewyze
68435,66,ellekingmusic
68357,64,officialomd
68131,37,billygilman
67839,39,javstwtr
67498,66,redjumpsuit
67420,61,therealdwele
67141,59,evasimons
67123,53,ryancabrera
66971,64,sspu
66600,61,diamondrioband
66509,59,gracejones
66190,68,spandauballet
65846,2,itsyasmin
65354,63,chingyfulldekk
65273,59,queensryche
65237,22,cwbyall
64654,54,happy_mondays
64646,58,theafters
63906,55,gibbbarry
63682,58,andrewmcmahon
63455,61,underworldlive
63281,69,midlandofficial
63124,59,joancbaez
63100,45,gettinsweenered
62905,66,walkerhayes
62321,76,jefflynneselo
62246,70,dylanscottcntry
62244,57,itskiddkidd
62210,67,bfsrocks
62087,60,locashmusic
61999,63,dashboardmusic
61471,70,thewiggles
61007,64,jamey_johnson
60874,66,anthemlights
60604,64,ofarevolution
60039,61,blueoctober
59926,47,polowdadon
59880,64,wearejames
59609,66,officialrundmc
59538,55,horrorsofficial
59483,58,ludwiggoransson
59170,54,ylvis
59168,55,neonhitch
59135,70,kungsmusic
58705,61,howardjones
58391,61,chriscagle
58053,66,erasureinfo
57723,71,empireofthesun
57424,74,paulsimonmusic
57332,61,tiffanytunes
57251,48,theleegreenwood
57229,72,_deeppurple
56604,71,bloodpop
56399,73,chicagotheband
56147,61,joshuaradin
55351,53,chrissiehynde
55291,72,ninasimonemusic
55194,71,whitesnake
54737,49,dessadarling
54483,57,officialjonb
53692,71,plainwhitets
53213,63,jethrotull
53091,69,kcreospeedwagon
52824,67,gloriagaynor
52511,46,tqthetrojan
52294,72,officialkaleo
52065,60,lisajstansfield
52056,71,russelled
52026,54,patgreenmusic
51445,73,pussycatdolls
51359,55,livingcolour
51247,49,chesneyhawkes
50800,58,officialgogos
50243,62,mydarkestdays
50138,66,otgenasis
50010,70,agreatbigworld
49626,63,themidnightla
49489,46,thewinerydogs
48745,47,stryper
48652,61,10years
48557,64,wearesheppard
48233,72,kiiara
48124,71,fitzandtantrums
48040,69,conradofficial
47888,62,faithless
47794,67,stevewinwood
47783,64,eiht0eiht
47782,57,smifnwessun
47571,56,shwayze
47546,34,caseyjames
46753,62,officialcult
46479,44,marcalmond
46456,75,lordhuron
46448,79,johnnycash
45936,68,lucenzo
45765,55,lulushouts
45715,86,missdaytona
45387,58,iggy_stooges
45177,73,ub40official
45032,62,zappa
44853,60,marilliononline
44782,70,jordancwdavis
44546,61,vivabananarama
44538,57,indigo_girls
44304,69,sobxrbe
44210,27,crystalbowersox
44174,55,jeruthedamaja
43976,78,brycevine
43273,50,sparksofficial
43138,58,sammykershaw
42580,71,kansasband
42459,60,ginblossoms
42302,65,morgan_evans
42278,68,gbguitar
42264,62,sirah
42236,70,royorbison
42148,52,elliottyamin
42107,77,ericclaptonnews
41854,80,avriljp
41837,72,marcebassy
41802,59,cleveorchestra
41635,58,giorgiomoroder
41471,55,chasebryant
40886,18,fourmusic
40777,47,ymo
40479,70,itstujamo
40417,60,therealtobylove
39995,42,heidinewfield
39590,57,nightranger
39498,62,petertosh
39341,49,laguns
38664,52,lbuckingham
38630,64,alexanderclare
38134,53,wingertheband
38044,74,omimusiconline
37776,24,amanda__brown
37626,66,lancomusic
36959,67,carlysimonhq
36900,52,thesheepdogs
36790,65,theb52s
36631,45,newsongonline
36090,68,the_proclaimers
35924,67,twistedsisterny
35924,56,ducksaucenyc
35768,66,benatargiraldo
35635,75,official_enya
35587,58,annemurray1
35583,48,petermurphyinfo
35281,55,blegit72
35281,49,gaalbright
35272,89,gaga_japan
35199,65,phoeberyan
35154,71,genesis_band
35122,81,deanlewismusic
35115,45,iamfefemusic
34636,37,charlibaltimore
34486,59,therealmix
34328,34,cdjmusic
34262,53,richardhawley
34201,67,themonkees
33920,36,lisafischersing
33818,72,eurythmicsultim
33459,59,toddrundgren
33392,67,youngrobstone
33126,35,sundancehead
32777,54,susanboyle
32380,58,kevinrudolf
32241,67,mikkyekko
32140,53,thecrystalgayle
31753,51,sokothecat
31597,45,younggreatness7
31199,66,mrwongo
30973,51,lostprophets
30673,44,joshbkelley
30084,47,thomasdolby
30051,61,ebtg
29979,66,humanleaguehq
29804,63,thecataracs
29727,57,thebreeders
29661,35,thefeelin
29659,23,thefeelin
29351,59,mavisstaples
29334,59,akadrjohn
29149,61,bellamybrothers
29123,58,suzyv
29068,75,willy_william
28603,38,mikihowardlive
28338,71,funkindotcom
28241,64,imeddiemoney
28168,85,bastilledan
28087,69,crowdedhousehq
28025,74,thescoremusic
27991,47,therealesthero
27924,59,markking
27492,71,bonnietofficial
27376,66,thefratellis
27240,61,chriswillistwit
27225,66,extremeband
27191,57,dokken
27007,52,itshellogoodbye
26867,49,ericburdon
26814,60,pfurs
26503,43,vvbrown
26416,54,crystalmethod
26179,53,cartel
26030,49,tricktrickgs
25988,48,jomersamarley
25944,22,devicetheband
25907,5,sawdoctors
25742,40,billyfgibbons
25551,64,thepharcyde
25451,59,savingabel
25442,45,iheartmemphis
25405,43,hadoukenuk
25328,56,squeezeofficial
25293,57,ultravoxuk
25124,65,quietriot
25118,55,maxipriest
25089,68,realcultureclub
24852,63,gabrielleuk
24625,49,yandtrocks
24336,48,hurricanechris6
23880,61,sharonjones
23627,55,whiteymorgan
23472,70,kingofcool
23445,57,nataliemerchant
23326,66,kiboomu
23278,65,therevivalists
23237,70,ratatatmusic
23045,53,armatradingjoan
22490,60,siouxsieandtheb
22475,57,mrciscoadler
22426,47,outasight
22339,50,martikatunes
22291,61,templeofthedog
22161,42,therealdjlaz
22097,46,thekimmitchell
22083,61,philipbaileyewf
22027,49,bobpetesarah
21615,14,tag_underground
21601,60,johnfarnham
21555,48,davidsanborn
21495,52,spizzyspose
21480,9,texastheband
21480,61,texastheband
21440,67,itsmrcross
21233,74,musicbybrooks
21186,47,theoriginal7ven
21143,42,3tworld
21004,53,danitykane
20835,29,damienleith
20769,45,thisisrozzi
20734,61,zdevin
20615,72,americaband
20565,56,pattiaustin
20501,45,alanparsons
20402,62,vikajigulina
20307,41,julianhcope
20258,24,lenarockerhall
20201,67,empressof
20188,39,cheddadaconnect
19767,73,otisredding
19724,48,davidrsoul
19468,53,flobots
19375,57,johntalsr
19249,63,lunchmoneylewis
19211,71,descemer_bueno
19210,63,randysvinyltap
19081,65,glencampbell
18705,47,shinytoyguns
18486,68,dexysofficial
18481,45,gregoryabbott
18346,69,btnhbonethugs
18272,48,wmmorgan
18206,69,europetheband
18183,60,brucehornsby
18025,56,abcfry
17808,55,thelemonheads
17803,61,undeveloped
17780,56,speech__
17692,65,madconofficial
17652,59,foghat
17451,55,sonbyfour
17425,29,mcserch
17414,62,darealpetey
17277,53,tommyguerrero
17222,63,blancobuffalo
17192,62,loslobosband
17173,49,protomen
17156,46,anyamarina
17064,60,crossfademusic
17031,58,bobbycaldwell
16996,42,burtoncummings
16984,49,steveholy
16969,90,aboogiewhoodie
16927,64,freshlygroundsa
16873,64,gigamesh
16818,47,katytiz
16762,28,mcdrs
16496,59,somhiero
16490,38,stallone
16486,64,thezombiesmusic
16441,48,lyricsborn
16407,62,midnightoilband
16330,58,bnnofficial
16326,54,peterjohncox
16305,57,suzi_quatro
16292,57,theataris
16225,57,originalasia
16214,53,tonyjoewhite
16194,50,4jonnhart
16098,71,survivorband
16008,52,lightning_seeds
15997,65,irene_cara
15953,70,randynewman
15922,39,osmondnews
15772,38,ladyjholliday
15736,38,jtmoneymiatl
15646,45,mrcheekslbfam
15519,48,kixtheband
15453,53,darylesing
15124,63,thestrumbellas
15021,48,herbalpert
14953,50,intervalsmusic
14951,53,thebjthomas
14543,45,therealjdash
14499,44,rogerhodgson
14472,34,gregcbates
14458,47,thundertowers
14177,54,mavericksmusic
14130,28,ivaleriesimpson
14092,39,thewurzels
14021,64,cdebofficial
13992,20,desmondchild
13969,44,alligator1971
13952,56,ultranatemusic
13892,60,finger_eleven
13735,70,thecarsband
13692,13,melxxxmusic
13405,13,divineofficial
13381,81,theofficialccr
13365,10,thehometeamnw
13281,68,jimcroce
13252,46,jefflorber
13248,51,robertcrayband
13129,28,vickilawrence
12950,56,ronniemilsap
12873,35,mpenn
12831,38,higherslystone
12802,51,bigcountryuk
12784,38,micaparissoul
12743,50,daedae
12711,53,wainbright
12671,49,innercitydet
12627,9,mmmixes
12600,46,jesusjonesband
12494,45,thealarm
12335,47,medicinegirl
12277,58,tomcochranemus
12258,59,chrisreamusic
12164,55,soul2souluk
12020,43,utahsaints
11994,41,bellytheband
11868,54,bandofheathens
11778,69,koolnthegnglive
11582,59,yolandabecool
11581,52,officialshaky
11496,57,annathewise
11388,49,swingoutsister
11345,62,bobbymcferrin
11163,39,jeff_bates
11062,33,jillsobule
10964,67,chicorg
10877,43,singerlilsuzy
10868,64,realterrinunn
10863,73,johndenvermusic
10814,54,romangianarthur
10748,32,sassjordan
10726,73,elleyduhe
10695,62,drhookofficial
10651,59,nikkershaw_hq
10564,52,littletexasband
10548,60,soulasylum
10494,62,officialmatm
10459,55,thestraycats
10448,63,josefeliciano
10230,74,thetemptations
10224,50,carolinaliar
10157,21,samharris
10123,46,thecolourist
10055,57,pcarrack
9918,60,loverboyband
9912,69,chuckberry
9885,61,jamesingramsing
9659,60,thegetoboys
9519,37,mhb850
9510,32,greglakewebsite
9286,48,rickieleejones
9124,66,paulanka
9049,48,thelorriemorgan
8925,45,tgsheppardmusic
8916,47,robingibb
8913,46,raystevensmusic
8844,51,thebandcracker
8812,24,davytweets
8803,54,thechurchband
8712,53,damianlhudson
8625,51,joyceeb
8528,49,dctalkofficial
8522,54,jenniferpaige1
8520,42,thebigpink
8354,54,holliswongwear
8195,51,thebebewinans
8113,66,blindmelonband
8095,57,alberthammond
8070,7,reflectionsmn
7946,47,officialvixen
7941,49,steelheartband
7908,55,ericturner
7892,67,softcellhq
7867,58,isaachayes
7847,35,itsgrahamparker
7810,57,yaelnaim
7782,29,wendymoten
7773,63,officialnilsson
7711,54,m0dernenglish
7678,50,melaniesafka
7666,30,zachsobiech
7562,63,davidleemurphy
7497,59,marccohn
7443,77,seebmusic
7437,41,scrittipolitti
7328,57,iamcandistaton
7322,54,uglykidjoeband
7150,53,tbgmusic
7046,65,rickjames
7014,56,digableplanets
6955,50,orgyofficial
6918,68,pointerofficial
6882,77,iamdiddy
6878,41,martha_wash
6763,48,wearedirtyvegas
6734,52,thejudycollins
6710,43,theblowmonkeys
6705,51,fixxonline
6639,61,jerryleelewis
6564,19,fredschneider3
6512,14,carolynemas
6437,43,roachfordmusic
6420,59,tjshondells
6376,37,egyptianshumba
6276,63,wearevsq
6249,42,paquitodrivera
6190,66,rockabyebaby
6163,59,sergiomendes
6156,77,dennislloyd_
6089,45,fatalvelli
6080,54,jhj_official
6036,54,mr_carl_thomas
6010,68,natkingcole
5929,61,realbobbywomack
5893,58,bing_crosby
5766,28,angelajohnson_1
5557,51,musicalyouth30
5533,41,thefarm_
5518,61,fgth_official
5502,50,barkays
5501,52,jasonevigan1
5419,84,ggyoungboy
5397,44,sam_dew
5367,57,jakepaulsmusic
5291,53,telepopmusiktm
5262,63,threedognight
5205,61,grittydirt
5181,66,wearefrenship
5170,55,alstewartinfo
5156,50,ginovofficial
5154,62,sweetofficial
5149,52,aprilwineband
5141,2,officialyoungmc
5140,54,officialyoungmc
5118,47,artofnoiseoffic
5090,67,cookin3burners
5083,61,limahl_official
5076,64,theofficialapp
5035,47,thecorrespond
4964,72,airsupplymusic
4929,52,emftheband
4924,51,stereomcs_rob_b
4895,61,gmooreofficial
4833,41,mannheimsteam
4811,57,sanandamaitreya
4797,51,burtbacharach
4793,54,mottthehoople
4732,54,lasgoofficial
4695,56,mspatricerushen
4614,66,kcandsunshineb
4607,77,simongarfunkel
4606,46,glasstiger
4606,53,steveharleycr
4474,48,mantran
4465,49,letterstocleo
4419,0,trendsdj_
4414,56,bouncingsoulsnj
4407,59,menwithouthats1
4400,50,dandelionxhands
4382,55,10000maniacs
4365,67,liltracy
4290,17,funkyrustic
4274,44,deryl_dodd
4248,56,prandr
4246,41,sweetlarrylove
4197,37,enuffznuff
4189,36,deborahallen3
4114,41,saigonkick
4106,54,bishsongs
4093,53,mollyhatchet
4091,62,gordenmikefield
4055,27,alpharev
4018,49,insoc
4016,68,officialbangles
3993,14,bangieb4real
3955,52,tagdivofficial
3940,65,roxymusic
3877,59,ballroomthieves
3843,59,kingharvestditm
3831,52,janebirkinoff
3788,67,starleymusic
3768,49,deep_forest
3563,52,the_undertones_
3558,48,spyrogyragroup
3444,3,russirwin1
3433,54,realthinguk
3432,47,expo_
3427,64,the_cuttingcrew
3427,57,averagewhitebnd
3416,39,8thdaymusic
3393,56,arrowbenjamin
3354,53,danhillmusic
3337,56,matthewsantos
3319,62,marshalltucker
3317,59,thedonz5
3300,37,kathytroccoli
3291,58,mungojerryltd
3174,39,nickifrenchie
3160,47,thestonefoxes
3128,58,realoletaadams
3112,53,thehooters
3074,63,wartheband
3072,46,shakespearssis
3070,49,thegeekxvrv
3018,47,tasminarcher
2997,58,therangejames
2933,60,alannahmyles
2933,33,reflexmusicru
2930,46,tweetthebabys
2921,40,theicicleworks
2878,45,thetubesgroup
2877,1,thejaneystreet
2875,35,zebramixx
2856,53,dawnpennmusic
2790,54,cahoneydrops
2788,35,kristinewmusic
2787,39,lindisfarneband
2756,27,stingraykaraoke
2751,8,themidtownmen
2739,48,dougstonetour
2722,82,jessglynne
2681,29,the4ofus
2673,34,gary_us_bonds
2671,63,conwaytwitty
2628,64,kkristofferson
2591,36,_vintagecaravan
2568,50,brotherdege
2566,34,thedramaduo
2528,32,endpop
2518,52,zayionmccall
2495,50,jhealeyofficial
2466,65,haddymusix
2447,62,thewandererdion
2400,62,littleriverband
2390,49,lynnashow
2383,64,wevillagepeople
2329,46,bluenilemusic
2325,27,nyasiafreestyle
2300,55,fastballtheband
2271,27,charliedore
2246,56,shalamarfriends
2220,46,davemasonband
2166,45,melissashares
2163,44,1honeymoonsuite
2150,68,theamazingboc
2140,27,kane_roberts
2114,23,chelseaw
2110,69,raconteursfans
2054,58,ctdsband
2054,66,badcompany_uk
2029,64,floandeddie
2015,56,jstarship
1993,48,officialdelbert
1991,52,nakedeyesmusic
1981,63,therealrafferty
1968,54,blackhawklive
1943,47,crussellmusic
1934,68,ryanriback
1902,26,rlhofficial
1897,34,_dreamsyndicate
1894,65,jjcaleofficial
1875,82,snowdko
1845,45,rocking3m
1821,51,outlawsmusic
1818,70,starshipcontrol
1815,50,focustheband
1796,56,thewhispers
1794,62,seagullsrunning
1747,51,tomtomclub
1742,39,bookoflovemusic
1742,59,cameonation
1740,57,dcupmusic
1732,30,thechildoflov
1709,62,bbhc
1687,32,freedyjohnston
1656,33,ellenfoleynyc
1613,53,badboysblue
1595,43,transxhinrg
1590,61,kierrasheard
1523,48,thefrightnrs
1512,31,theboysuk
1509,48,us3official
1504,55,petula_clark
1497,0,novels_official
1486,55,doulikecom
1466,44,frenteofficial
1462,58,therogermiller
1434,59,peggyleemusic
1413,61,leosayerreal
1408,71,alunageorge
1358,44,officialadamski
1348,51,ateens_
1329,44,shamen1
1328,50,plasticbertrand
1298,53,ashsimpsonwentz
1278,79,official_police
1258,48,larrycarlton
1234,61,littlerichard_
1233,37,thesoulphonics
1229,91,marshmellomusic
1212,46,bowwowwowband
1201,43,phardingmusic
1198,35,theelectricboys
1184,44,thesmithereens
1168,60,djrobertmiles
1153,36,janechild
1144,46,jackiedeshannon
1139,57,2_unlimited_
1125,51,brian_hyland
1119,26,wearestandards
1038,45,cdubtweets
1037,58,troublemetal
1028,54,thelma_houston
1014,56,elvinbishop42
1008,8,thebeatdown
1006,46,smokeyjoethekid
993,59,rossr5
963,67,jenniferwarnes
952,80,lildurk_
952,57,wangchungmusic
908,54,blackstarhub
897,0,americansmusic
886,67,alphaville_band
856,43,the_fortunes
856,5,ivoryonthebeat
847,46,mindlessbhavior
842,72,the__commodores
841,66,the_hollies
839,57,loverevisited66
837,56,tenyearsafteruk
834,47,vanillafudgerox
733,36,jellyfish_band
722,68,1omarion
699,73,leonalewismusic
692,37,prismtheband
684,6,sleepersny
673,31,sunscreemuk
662,27,hibthebomb
656,39,thebuddymiles
651,47,marthajohnson13
650,56,sitepad
646,36,restoworld
643,35,renchaudio
630,33,lamontdozier
616,63,kim_carnes
598,25,_causeandeffect
588,22,tarakemp_tk
583,47,rftwmusic
568,41,horacemusic
551,43,trinilopezoffcl
546,42,the_korgis
543,34,leftbankeband
523,85,imjmichaels
521,74,snowpatrolband
510,62,bozscaggs
485,58,1johnfordcoley
481,81,lukebryanonline
476,79,nelly_mo
468,46,thetrashmenband
467,42,themssngrbirds
463,47,thunderfabulous
459,60,smokie_music
459,41,stampeders
453,47,camouflagemusic
435,59,ttlrslullaby
433,21,evsands
429,38,theescapeclub
427,62,38specialmedia
422,41,the_dakotas
419,36,elettroband
411,50,johnnytillotson
409,51,theventureslive
409,36,cmhrecords
397,63,martyrobbinsaz
396,36,starbuckbruce
392,70,pianoguys
390,30,busboys
388,6,melissalawson
386,78,youngjeezy
382,69,lalainaai10
371,55,durand_jones
357,47,therealshawtylo
332,36,tricotmachine
330,30,noelpaulstookey
319,33,simskym
313,61,autotunethenews
296,48,ironbutterflyof
290,50,onlyrealshannon
289,18,onlyrealshannon
279,13,sandeemusic
276,64,the_byrds
276,54,blackboxhouse
272,86,kodakblack1k
272,83,justsza
257,52,boyboywestcoast
252,39,mandrilltheband
247,46,steveforberttwt
239,33,joboxers_band
236,58,m2m_mus
232,42,cozmo_dizko
226,34,deccluskey
222,50,choirboysband
220,79,theofficialdaya
220,67,officialcsny
216,52,_thesmallfaces
211,57,billyconti
206,67,monicabrown
199,39,buckinghamsband
192,53,eddiefloyd
187,18,v_sagat
185,67,thespinners2
176,8,jhansonmusic
175,37,aow_moa
171,61,kongosmusic
170,54,londonbeat_2016
161,47,climaxbbnow
160,76,yogottikom
144,78,citygirls_qc
144,16,jimphotoglo
139,12,ybtherockstar
139,79,calumscottmusic
139,83,djmustard
139,56,augustana
120,30,thebluesmagoos
118,18,aqildavidson
115,56,lntweet
115,77,oficialludmilla
114,51,officialjayoh
112,24,chrisdallastex
111,68,dvsndvsn
103,40,8bitmisfitshq
94,69,themasonramsey
93,63,falcofoundation
92,66,belindaofficial
88,57,thetings
86,66,oneillbromusic
84,68,beneking
84,7,downstairsja
78,32,merrilbmusic
76,26,thelennywelch
72,60,foxydondiva
71,69,jamesbrownmusic
70,74,walkthemoonband
64,0,8bit_arcade
64,46,8bit_arcade
62,70,elviscrespolive
60,81,kevin_gates
57,37,konkanband
55,45,bobbyhelmsmusic
49,4,theofficialbeat
48,55,bonniemckeee
47,46,confunkshunusa4
44,77,greycolours
43,39,evelynthomas
42,60,taylor_dayne
41,69,mrteriusnash
37,71,toadm
35,67,passionpit
30,44,therealswitch
29,62,weathergirls01
27,34,yomilo
21,34,thekingsrhere
20,78,oliviagobrien
19,59,djquik
19,59,aljarreau
18,29,sosoglos
11,69,chris_daughtry
8,65,boyslikegirls
6,69,wrabel
6,68,the_johnmartin
4,35,positivek1
3,50,_richboy
3,40,butchwalker
2,49,glorianatheband
1,48,ramseylewis
